"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
126,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Peachtree Way,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760","NE, NW",NE,NW,,,0.500,"$43,880",,,,,,,,,8,,,,,,1.000,"$87,760",B,,,,,Peachtree Heights East,,,,,,,,,,,Peachtree Road,,,,,,,Medium Traffic Signals,1
156,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Peachtree-Dunwoody Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Ridgedale Park,Brookhaven,,,,,,,,,,Peachtree Road,Peachtree-Dunwoody Road,,,,,,Medium Traffic Signals,1
132,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Pharr Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940","NE, NW",NE,NW,,,0.500,"$29,970",,,,,,,,,8,,,,,,1.000,"$59,940",B,,,,,Garden Hills,Buckhead Village,,,,,,,,,,Peachtree Road,,,Pharr Road,,,,Medium Traffic Signals,1
143,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Piedmont Road,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",,,"$36,400",NE,NE,,,,1.000,"$36,400",,,,,,,,7,,,,,,,1.000,"$36,400",B,,,,,North Buckhead,Buckhead Village,,,,,,,,,,Peachtree Road,Piedmont Road,,,,,,Low Traffic Signals,1
128,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Rumson Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940","NE, NW",NE,NW,,,0.500,"$29,970",,,,,,,,,8,,,,,,1.000,"$59,940",B,,,,,Garden Hills,,,,,,,,,,,Peachtree Road,,,,,,,Medium Traffic Signals,1
129,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Sheridan Drive,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940","NE, NW",NE,NW,,,0.500,"$29,970",,,,,,,,,8,,,,,,1.000,"$59,940",B,,,,,Garden Hills,,,,,,,,,,,Peachtree Road,,,,,,,Medium Traffic Signals,1
148,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Stratford Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,North Buckhead,,,,,,,,,,,Peachtree Road,,,,,,,Medium Traffic Signals,1
123,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Terrace Drive,,Replacement of traffic signal controller monitor & signal communications at the intersection.,Low,"$42,820",0%,,"$42,820","NE, NW",NE,NW,,,0.500,"$21,410",,,,,,,,,8,,,,,,1.000,"$42,820",B,,,,,Peachtree Hills,,,,,,,,,,,Peachtree Road,,,,,,,Low Traffic Signals,1
147,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Tower Place,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",0%,,"$36,400","NE, NW",NE,NW,,,0.500,"$18,200",,,,,,,,7,,,,,,,1.000,"$36,400",B,,,,,North Buckhead,,,,,,,,,,,Peachtree Road,,,,,,,Low Traffic Signals,1
155,1.4.5,Traffic,Traffic Signals,Peachtree Road @ Wieuca Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",0%,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,North Buckhead,Buckhead Heights,,,,,,,,,,Peachtree Road,Wieuca Road,,,,,,Medium Traffic Signals,1
223,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 10th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,10th Street,,,,Medium Traffic Signals,1
224,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 11th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
225,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 12th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
226,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 14th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,14th Street,,,,,,Medium Traffic Signals,1
227,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 15th Street,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",0%,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
448,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 16th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
103,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 17th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",100%,,$0,NE,NE,,,,1.000,"$40,680",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
110,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 25th Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",0%,,"$87,760","NE, NW",NE,NW,,,0.500,"$43,880",,,,,,,,,8,,,,,,1.000,"$87,760",E,,,,,Brookwood,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
409,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 3rd Street,Midtown RTOP,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Medium,"$40,680",100%,,$0,NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
221,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 5th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
945,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 6th Street,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",0,,"$40,680",NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,"$40,680",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
222,1.4.5,Traffic,Traffic Signals,Peachtree Street @ 7th Street,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",0,,"$59,940",NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
505,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Alabama Street,Project Shield,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,SW,,,,SW,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
856,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Andrew Young International Boulevard,CAP Phase II,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",100%,,$0,"NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Andrew Young International Boulevard,,,,,,High Traffic Signals,1
546,1.4.5,Traffic,Traffic Signals,"Peachtree Street @ Auburn Avenue, Luckie Street & Broad Street",,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",0,,"$87,760","NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,Auburn Avenue ,Luckie Street,,,Medium Traffic Signals,1
562,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Baker Street,CAP Phase II,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,"NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Baker Street,,,,,,Medium Traffic Signals,1
109,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Deering Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",0%,,"$87,760","NE, NW",NE,NW,,,0.500,"$43,880",,,,,,,,,8,,,,,,1.000,"$87,760",E,,,,,Brookwood,,,,,,,,,,,Peachtree Street,,,Deering Road,,,,Medium Traffic Signals,1
767,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Ellis Street,"streetcar, Project shield","Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,"NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,Ellis Street,,,,Medium Traffic Signals,1
665,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Forsyth Street & Carnegie Way,"streetcar, CAP Phase II",Replacement of traffic signal LED's & signal communications at the intersection.,Low,"$55,660",100%,,$0,"NE, NW",NE,NW,,,0.500,"$27,830",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,Forsyth Street,,,,Low Traffic Signals,1
801,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Garnett Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SW,,,,SW,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,High Traffic Signals,1
825,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Harris Street,Project Shield,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",100%,,$0,"NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Harris Street,,,,,,High Traffic Signals,1
111,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Huntington Road & 26th Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",0%,,"$87,760","NE, NW",NE,NW,,,0.500,"$43,880",,,,,,,,,8,,,,,,1.000,"$87,760",E,,,,,Brookwood,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
105,1.4.5,Traffic,Traffic Signals,Peachtree Street @ I-85 Ramps,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",0%,,"$40,680","NE, NW",NE,NW,,,0.500,"$20,340",,,,,,,,,8,,,,,,1.000,"$40,680",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
335,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Linden Avenue,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",0,,"$59,940",NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Linden Avenue,,,,,,Medium Traffic Signals,1
731,1.4.5,Traffic,Traffic Signals,"Peachtree Street @ Marietta Street, Decatur Street & Edgewood Avenue",,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",0,,"$68,500","NE, SW",NE,,,SW,0.250,"$17,125",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Marietta Street,Decatur Street,,,,,Medium Traffic Signals,1
714,1.4.5,Traffic,Traffic Signals,"Peachtree Street @ Memorial Drive, Forsyth Street & Cooper Street",,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",Low,"$74,920",0,,"$74,920",SW,,,,SW,1.000,"$74,920",,,2,,,,,,,,,,,,1.000,"$74,920",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Memorial Drive,,Forsyth Street,,,,Low Traffic Signals,1
374,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Mitchell Street,Project Shield,Replacement of traffic signal LED's & signal communications at the intersection.,Low,"$55,660",100%,,$0,SW,,,,SW,1.000,"$55,660",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Mitchell Street,,,,,,Low Traffic Signals,1
390,1.4.5,Traffic,Traffic Signals,Peachtree Street @ North Avenue,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",0,,"$59,940",NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",E,,,,,Midtown,Downtown,,,,,,,,,,Peachtree Street,North Avenue,,,,,,Medium Traffic Signals,1
107,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Peachtree Circle & South Rhodes Center,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,"$40,680",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
880,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Peachtree Place,Midtown RTOP,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",100%,,$0,NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
406,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Pine Street,Midtown RTOP,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",100%,,$0,NE,NE,,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
407,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Ponce De Leon Avenue,Midtown RTOP,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Medium,"$40,680",100%,,$0,NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,Ponce De Leon Avenue,,,,,,Medium Traffic Signals,1
920,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Poplar Street Crosswalk,CAP Phase II,Replacement of traffic signal communications at the intersection.,Low,"$36,400",100%,,$0,"NE, NW",NE,NW,,,0.500,"$18,200",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
408,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Ralph McGill Boulevard,CAP Phase II,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",100%,,$0,NE,NE,,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Medium Traffic Signals,1
108,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Spring Street & Office Driveway,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",0,,"$36,400","NE, NW",NE,NW,,,0.500,"$18,200",,,2,,,,,,,,,,,,1.000,"$36,400",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Spring Street,,,,,,Low Traffic Signals,1
410,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Trinity Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",0,,"$87,760",SW,,,,SW,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,Peachtree Street,Trinity Avenue,,,,,,Medium Traffic Signals,1
931,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Wall Street,Project Shield,Replacement of traffic signal communications at the intersection.,Low,"$36,400",100%,,$0,SW,,,,SW,1.000,"$36,400",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
919,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Walton Street,CAP Phase II,Replacement of traffic signal communications at the intersection.,Low,"$36,400",100%,,$0,"NE, NW",NE,NW,,,0.500,"$18,200",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
104,1.4.5,Traffic,Traffic Signals,Peachtree Street @ West Peachtree Street,CAP Phase II,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,"NE, NW",NE,NW,,,0.500,"$29,970",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Peachtree Street,West Peachtree Street,,,,,,Medium Traffic Signals,1
478,1.4.5,Traffic,Traffic Signals,Peachtree Street @ West Peachtree Street (South Junction),Midtown RTOP,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,"NE, NW",NE,NW,,,0.500,"$43,880",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Peachtree Street,West Peachtree Street,,,,,,Medium Traffic Signals,1
881,1.4.5,Traffic,Traffic Signals,Peachtree Street @ Woodruff Art Center Driveway,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940","NE, NW",NE,NW,,,0.500,"$29,970",,,,,,,6,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,,,,,,,Low Traffic Signals,1
220,1.4.5,Traffic,Traffic Signals,Peachtree Street @14th Street ,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Peachtree Street,14th Street,,,,,,Medium Traffic Signals,1
772,1.4.5,Traffic,Traffic Signals,Peters Street @ Fair Street,Recovery Zone,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",High,"$59,940",100%,,$0,SW,,,,SW,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Castleberry Hill,,,,,,,,,,,Peters Street,,,Fair Street ,,,,High Traffic Signals,3
412,1.4.5,Traffic,Traffic Signals,Peters Street @ Walker Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",,,"$68,500",SW,,,,SW,1.000,"$68,500",,,,,4,,,,,,,,,,1.000,"$68,500",M,,,,,Castleberry Hill,,,,,,,,,,,Peters Street,,,,,,,Medium Traffic Signals,3
679,1.4.5,Traffic,Traffic Signals,Peters Street @ Westview Drive & Chapel Street,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",SW,,,,SW,1.000,"$59,940",,,,,4,,,,,,,,,,1.000,"$59,940",T,,,,,Atlanta University Center,,,,,,,,,,,Peters Street,,,Westview Drive,,,,Low Traffic Signals,3
814,1.4.5,Traffic,Traffic Signals,Pharr Road @ Grandview Avenue,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Garden Hills,Buckhead Village,,,,,,,,,,,,,Pharr Road,,,,Low Traffic Signals,7
345,1.4.5,Traffic,Traffic Signals,Pharr Road @ Maple Drive,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Buckhead Village,,,,,,,,,,,,,,Pharr Road,,,,Low Traffic Signals,7
476,1.4.5,Traffic,Traffic Signals,Phipps Boulevard @ Phipps Plaza Driveway,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,North Buckhead,,,,,,,,,,,,,,,,,,Medium Traffic Signals,6
201,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 10th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,,,,,,,Medium Traffic Signals,1
202,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 12th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,,,,,,,Medium Traffic Signals,1
203,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 14th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,14th Street,,,,,,Medium Traffic Signals,1
783,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 5th Street,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,,,,,,,Medium Traffic Signals,1
875,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 7th Street,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",E,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,,,,,,,Low Traffic Signals,1
947,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ 8th Street,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,"$40,680",M,,,,,Midtown,,,,,,,,,,,Piedmont Avenue,,,,,,,Low Traffic Signals,1
857,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ Andrew Young International Boulevard,Project Shield,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",100%,,$0,NE,NE,,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Piedmont Avenue,,,,,,,High Traffic Signals,1
553,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ Auburn Avenue,CAP Phase II,Replacement of traffic signal communications at the intersection.,Low,"$36,400",100%,,$0,NE,NE,,,,1.000,"$36,400",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Piedmont Avenue,,,Auburn Avenue,,,,Low Traffic Signals,1
563,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ Baker Street,Project Shield,Replacement of traffic signal communications at the intersection.,Low,"$36,400",100%,,$0,NE,NE,,,,1.000,"$36,400",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,Old Fourth Ward,,,,,,,,,,Piedmont Avenue,Baker Street,,,,,,Low Traffic Signals,1
729,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ Currier Street,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",,,"$36,400",NE,NE,,,,1.000,"$36,400",,,2,,,,,,,,,,,,1.000,"$36,400",M,,,,,Downtown,Old Fourth Ward,,,,,,,,,,Piedmont Avenue,,,,,,,Low Traffic Signals,1
733,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ Decatur Street,Project Shield,Replacement of traffic signal LED's & signal communications at the intersection.,Low,"$55,660",100%,,$0,SE,,,SE,,1.000,"$55,660",,,,,,5,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Piedmont Avenue,Decatur Street,,,,,,Low Traffic Signals,1
206,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ East Morningside Drive,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",NE,NE,,,,1.000,"$87,760",,,,,,,6,,,,,,,,1.000,"$87,760",F,,,,,Morningside/Lenox Park,,,,,,,,,,,Piedmont Avenue,,,East Morningside Drive,,,,Medium Traffic Signals,1
207,1.4.5,Traffic,Traffic Signals,Piedmont Avenue @ East Pelham Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",NE,NE,,,,1.000,"$87,760",,,,,,,6,,,,,,,,1.000,"$87,760",F,,,,,Piedmont Heights,,,,,,,,,,,Piedmont Avenue,,,,,,,Low Traffic Signals,1
